#twotheta, yobs, ycal, bkg, diff
2.156000e+001,3.100000e+001,3.060381e+001,3.053153e+001,3.961923e-001
2.158000e+001,3.200000e+001,3.060036e+001,3.052787e+001,1.399640e+000
2.160000e+001,3.200000e+001,3.059969e+001,3.052698e+001,1.400308e+000
2.162000e+001,3.400000e+001,3.060177e+001,3.052884e+001,3.398225e+000
2.164000e+001,3.200000e+001,3.060658e+001,3.053343e+001,1.393417e+000
2.166000e+001,3.700000e+001,3.061409e+001,3.054071e+001,6.385911e+000
2.168000e+001,3.900000e+001,3.062427e+001,3.055066e+001,8.375732e+000
2.170000e+001,3.700000e+001,3.063709e+001,3.056326e+001,6.362909e+000
2.172000e+001,2.700000e+001,3.065253e+001,3.057847e+001,-3.652534e+000
2.174000e+001,3.300000e+001,3.067057e+001,3.059627e+001,2.329432e+000
2.176000e+001,2.300000e+001,3.069117e+001,3.061664e+001,-7.691167e+000
2.178000e+001,2.200000e+001,3.071430e+001,3.063954e+001,-8.714304e+000
2.180000e+001,2.800000e+001,3.073995e+001,3.066495e+001,-2.739954e+000
2.182000e+001,4.100000e+001,3.076809e+001,3.069285e+001,1.023191e+001
2.184000e+001,3.400000e+001,3.079868e+001,3.072320e+001,3.201316e+000
2.186000e+001,3.200000e+001,3.083171e+001,3.075598e+001,1.168289e+000
2.188000e+001,2.500000e+001,3.086714e+001,3.079116e+001,-5.867144e+000
2.190000e+001,2.300000e+001,3.090496e+001,3.082872e+001,-7.904956e+000
2.192000e+001,2.900000e+001,3.094512e+001,3.086863e+001,-1.945122e+000
2.194000e+001,2.900000e+001,3.098761e+001,3.091086e+001,-1.987615e+000
2.196000e+001,2.500000e+001,3.103241e+001,3.095539e+001,-6.032408e+000
2.198000e+001,2.500000e+001,3.107948e+001,3.100219e+001,-6.079475e+000
2.200000e+001,2.700000e+001,3.112879e+001,3.105122e+001,-4.128791e+000
2.202000e+001,2.700000e+001,3.118033e+001,3.110248e+001,-4.180329e+000
2.204000e+001,2.200000e+001,3.123406e+001,3.115592e+001,-9.234064e+000
2.206000e+001,2.800000e+001,3.128997e+001,3.121153e+001,-3.289969e+000
2.208000e+001,3.300000e+001,3.134802e+001,3.126926e+001,1.651982e+000
2.210000e+001,3.600000e+001,3.140819e+001,3.132911e+001,4.591814e+000
2.212000e+001,2.300000e+001,3.147045e+001,3.139104e+001,-8.470448e+000
2.214000e+001,2.900000e+001,3.153478e+001,3.145503e+001,-2.534778e+000
2.216000e+001,2.500000e+001,3.160115e+001,3.152104e+001,-6.601152e+000
2.218000e+001,3.300000e+001,3.166954e+001,3.158906e+001,1.330457e+000
2.220000e+001,3.300000e+001,3.173993e+001,3.165904e+001,1.260072e+000
2.222000e+001,3.100000e+001,3.181228e+001,3.173098e+001,-8.122813e-001
2.224000e+001,1.700000e+001,3.188658e+001,3.180484e+001,-1.488658e+001
2.226000e+001,2.400000e+001,3.196280e+001,3.188059e+001,-7.962798e+000
2.228000e+001,3.100000e+001,3.204091e+001,3.195821e+001,-1.040914e+000
2.230000e+001,2.400000e+001,3.212090e+001,3.203768e+001,-8.120904e+000
2.232000e+001,4.200000e+001,3.220275e+001,3.211895e+001,9.797255e+000
2.234000e+001,2.600000e+001,3.228641e+001,3.220202e+001,-6.286414e+000
2.236000e+001,3.200000e+001,3.237189e+001,3.228684e+001,-3.718905e-001
2.238000e+001,2.800000e+001,3.245915e+001,3.237340e+001,-4.459152e+000
2.240000e+001,3.800000e+001,3.254818e+001,3.246166e+001,5.451822e+000
2.242000e+001,2.900000e+001,3.263895e+001,3.255161e+001,-3.638947e+000
2.244000e+001,3.000000e+001,3.273144e+001,3.264321e+001,-2.731442e+000
2.246000e+001,3.700000e+001,3.282564e+001,3.273644e+001,4.174357e+000
2.248000e+001,3.100000e+001,3.292153e+001,3.283127e+001,-1.921531e+000
2.250000e+001,2.700000e+001,3.301909e+001,3.292767e+001,-6.019091e+000
2.252000e+001,3.200000e+001,3.311831e+001,3.302561e+001,-1.118306e+000
2.254000e+001,2.200000e+001,3.321916e+001,3.312508e+001,-1.121916e+001
2.256000e+001,2.500000e+001,3.332164e+001,3.322604e+001,-8.321642e+000
2.258000e+001,2.700000e+001,3.342574e+001,3.332847e+001,-6.425736e+000
2.260000e+001,3.200000e+001,3.353143e+001,3.343234e+001,-1.531433e+000
2.262000e+001,3.200000e+001,3.363872e+001,3.353762e+001,-1.638722e+000
2.264000e+001,4.200000e+001,3.374760e+001,3.364428e+001,8.252404e+000
2.266000e+001,3.400000e+001,3.385805e+001,3.375231e+001,1.419521e-001
2.268000e+001,3.500000e+001,3.397007e+001,3.386167e+001,1.029927e+000
2.270000e+001,3.800000e+001,3.408367e+001,3.397233e+001,3.916332e+000
2.272000e+001,2.700000e+001,3.419883e+001,3.408427e+001,-7.198832e+000
2.274000e+001,2.900000e+001,3.431557e+001,3.419747e+001,-5.315568e+000
2.276000e+001,3.100000e+001,3.443388e+001,3.431189e+001,-3.433878e+000
2.278000e+001,3.000000e+001,3.456610e+001,3.442751e+001,-4.566103e+000
2.280000e+001,2.900000e+001,3.468764e+001,3.454431e+001,-5.687640e+000
2.282000e+001,3.500000e+001,3.481078e+001,3.466225e+001,1.892200e-001
2.284000e+001,3.100000e+001,3.493554e+001,3.478130e+001,-3.935537e+000
2.286000e+001,3.700000e+001,3.506806e+001,3.490145e+001,1.931941e+000
2.288000e+001,3.400000e+001,3.519614e+001,3.502267e+001,-1.196136e+000
2.290000e+001,3.400000e+001,3.532590e+001,3.514492e+001,-1.325897e+000
2.292000e+001,3.400000e+001,3.545737e+001,3.526819e+001,-1.457369e+000
2.294000e+001,3.700000e+001,3.559058e+001,3.539244e+001,1.409416e+000
2.296000e+001,2.000000e+001,3.572558e+001,3.551765e+001,-1.572558e+001
2.298000e+001,3.600000e+001,3.586240e+001,3.564379e+001,1.376007e-001
2.300000e+001,3.700000e+001,3.600109e+001,3.577083e+001,9.989148e-001
2.302000e+001,3.000000e+001,3.614169e+001,3.589875e+001,-6.141689e+000
2.304000e+001,2.700000e+001,3.628426e+001,3.602753e+001,-9.284265e+000
2.306000e+001,3.400000e+001,3.642887e+001,3.615713e+001,-2.428874e+000
2.308000e+001,2.900000e+001,3.657558e+001,3.628752e+001,-7.575580e+000
2.310000e+001,2.800000e+001,3.672445e+001,3.641869e+001,-8.724455e+000
2.312000e+001,3.400000e+001,3.687557e+001,3.655060e+001,-2.875573e+000
2.314000e+001,3.400000e+001,3.702902e+001,3.668323e+001,-3.029017e+000
2.316000e+001,5.100000e+001,3.718487e+001,3.681655e+001,1.381513e+001
2.318000e+001,3.700000e+001,3.734323e+001,3.695053e+001,-3.432341e-001
2.320000e+001,3.400000e+001,3.750420e+001,3.708516e+001,-3.504199e+000
2.322000e+001,4.200000e+001,3.766787e+001,3.722039e+001,4.332128e+000
2.324000e+001,3.900000e+001,3.783436e+001,3.735620e+001,1.165636e+000
2.326000e+001,3.200000e+001,3.800379e+001,3.749258e+001,-6.003791e+000
2.328000e+001,4.300000e+001,3.817628e+001,3.762948e+001,4.823725e+000
2.330000e+001,3.400000e+001,3.835194e+001,3.776689e+001,-4.351944e+000
2.332000e+001,3.600000e+001,3.853093e+001,3.790477e+001,-2.530932e+000
2.334000e+001,4.800000e+001,3.871338e+001,3.804310e+001,9.286622e+000
2.336000e+001,3.200000e+001,3.889943e+001,3.818186e+001,-6.899426e+000
2.338000e+001,3.300000e+001,3.908923e+001,3.832101e+001,-6.089227e+000
2.340000e+001,4.300000e+001,3.928294e+001,3.846054e+001,3.717065e+000
2.342000e+001,4.200000e+001,3.949516e+001,3.860040e+001,2.504844e+000
2.344000e+001,3.800000e+001,3.969722e+001,3.874058e+001,-1.697222e+000
2.346000e+001,4.600000e+001,3.990369e+001,3.888106e+001,6.096313e+000
2.348000e+001,3.300000e+001,4.011472e+001,3.902179e+001,-7.114721e+000
2.350000e+001,3.800000e+001,4.033767e+001,3.916276e+001,-2.337672e+000
2.352000e+001,4.200000e+001,4.055840e+001,3.930394e+001,1.441601e+000
2.354000e+001,5.300000e+001,4.078422e+001,3.944530e+001,1.221578e+001
2.356000e+001,4.800000e+001,4.101532e+001,3.958682e+001,6.984676e+000
2.358000e+001,3.900000e+001,4.125188e+001,3.972847e+001,-2.251881e+000
2.360000e+001,5.300000e+001,4.149407e+001,3.987022e+001,1.150593e+001
2.362000e+001,5.800000e+001,4.174207e+001,4.001204e+001,1.625793e+001
2.364000e+001,4.500000e+001,4.199607e+001,4.015392e+001,3.003935e+000
2.366000e+001,5.100000e+001,4.225622e+001,4.029581e+001,8.743784e+000
2.368000e+001,3.100000e+001,4.252269e+001,4.043771e+001,-1.152269e+001
2.370000e+001,4.600000e+001,4.279566e+001,4.057957e+001,3.204338e+000
2.372000e+001,5.200000e+001,4.307528e+001,4.072137e+001,8.924723e+000
2.374000e+001,3.900000e+001,4.336169e+001,4.086308e+001,-4.361688e+000
